customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
00000dbacae5abe5e23885899a1fa44253a17956c6d1c3d25f88aa139fdfc657,,,ACTIVE,NONE,49.0,52043ee2162cf5aa7ee79974281641c6f11a68d276429a91f8ca0d4b6efa8100
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,,,ACTIVE,NONE,25.0,2973abc54daa8a5f8ccfe9362140c63247c5eee03f1d93f4c830291c32bc3057
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,,,ACTIVE,NONE,24.0,64f17e6a330a85798e4998f62d0930d14db8db1c054af6c9090f7dd3e38380dc
00005ca1c9ed5f5146b52ac8639a40ca9d57aeff4d1bd2c5feb1ca5dff07c43e,,,ACTIVE,NONE,54.0,5d36574f52495e81f019b680c843c443bd343d5ca5b1c222539af5973a23ae6d
00006413d8573cd20ed7128e53b7b13819fe5cfc2d801fe7fc0f26dd8d65a85a,1.0,1.0,ACTIVE,Regularly,52.0,25fa5ddee9aac01b35208d01736e57942317d756b32ddd4564743b005a805b1d
000064249685c11552da43ef22a5030f35a147f723d5b02ddd9fd22452b1f5a6,,,,,,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
0000757967448a6cb83efb3ea7a3fb9d418ac7adf2379d8cd0c725276a467a2a,,,ACTIVE,NONE,20.0,fe7b8e2b3fafb89ca90db17ffeeae0fd29b795d803f74961cf8f27adb16e67e4
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,1.0,1.0,ACTIVE,Regularly,32.0,8d6f45050876d059c830a0fe63f1a4c022de279bb68ce312615afb86814fec7a
00007e8d4e54114b5b2a9b51586325a8d0fa74ea23ef77334eaec4ffccd7ebcc,,,ACTIVE,NONE,20.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
00008469a21b50b3d147c97135e25b4201a8c58997f78782a0cc706645e14493,,,ACTIVE,NONE,20.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
0000945f66de1a11d9447609b8b41b1bc987ba185a5496ae8831e8493afa24ff,,,ACTIVE,NONE,29.0,d93e1aaecdebf9f71ab42cc0c5fdbb378514c94971ad1c84ff8af6b11e0613fa
000097d91384a0c14893c09ed047a963c4fc6a5c021044eec603b323e8c82d1d,,,ACTIVE,NONE,31.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
